symbol,state,agreement,nearest_support,support_distance_percent,support_tests,nearest_resistance,resistance_distance_percent,resistance_tests,layer2_reason,layer3_state,breakout_side,breakout_level,breakout_distance_percent,breakout_volume_ratio,breakout_candle_ratio,layer3_reason,layer4_state,pullback_level,pullback_distance_percent,fib_level,confirmation_pattern,layer4_reason,layer5_state,range_support,range_resistance,range_width_pips,range_width_atr,range_support_touches,range_resistance_touches,layer5_reason,ai_decision,ai_score,ai_pattern,ai_reason,layer1_score,layer2_score,layer3_score,layer4_score,layer5_score,layer6_score,layer6_pattern,layer6_reason,layer7_bias,layer7_score,layer7_reason,layer8_risk,layer8_score,layer8_reason,composite_score,live_spread_percent,execution_cost_penalty,expected_net_value,composite_reason,sources
GBPJPY,RANGING,0,213.18650000,0.0476,8,213.54114286,0.1187,14,passed: ranging candidate near tested support tests=8 distance=0.0476% and resistance tests=14 distance=0.1187%,,,,,,,,,,,,,,RANGE_SELL,212.08050000,213.51900000,143.9,8.99,83,8,confirmed clean range: scalp sell near range resistance,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",76.95,95.24,0.00,0.00,100.00,95.00,evening_star,evening_star agrees with SELL; formed near key level (0.1149%),NEUTRAL,52.04,"NEUTRAL fundamental bias; base=52.3, quote=50.2",CLEAR,50.00,"news bias score base=50.0, quote=50.0",82.64,0.00609,3.05,82.59,"layer1=77.0, layer2=95.2, layer3=0.0, layer4=0.0, layer5=100.0, layer6=95.0, layer7=52.0, layer8=50.0",MT5:RANGING:H1=TRENDING_UP; H4=TRENDING_DOWN
EURGBP,RANGING,0,0.86672750,0.1086,4,0.86821000,0.0622,3,passed: ranging candidate near tested support tests=4 distance=0.1086% and resistance tests=3 distance=0.0622%,,,,,,,,,,,,,,RANGE_BUY,0.86690000,0.87112400,42.2,8.01,3,91,confirmed clean range: scalp buy near range support,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",77.70,93.78,0.00,0.00,100.00,65.00,none,formed near key level (0.0910%),NEUTRAL,47.75,"NEUTRAL fundamental bias; base=50.0, quote=52.3",CLEAR,50.00,"news bias score base=50.0, quote=50.0",75.88,0.00115,0.58,78.31,"layer1=77.7, layer2=93.8, layer3=0.0, layer4=0.0, layer5=100.0, layer6=65.0, layer7=47.7, layer8=50.0",MT5:RANGING:H1=RANGING; H4=TRENDING_UP
USDCHF,RANGING,0,0.78438000,0.1324,4,0.78650000,0.1375,4,passed: ranging candidate near tested support tests=4 distance=0.1324% and resistance tests=4 distance=0.1375%,,,,,,,,,,,,,,RANGE_BUY,0.78455833,0.78712308,25.6,5.11,20,54,confirmed clean range: scalp buy near range support,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",77.45,86.76,0.00,0.00,100.00,65.00,none,formed near key level (0.1135%),BULLISH,58.68,"BULLISH fundamental bias; base=61.3, quote=52.6",CLEAR,50.00,"news bias score base=50.0, quote=50.0",76.43,0.00255,1.27,78.16,"layer1=77.5, layer2=86.8, layer3=0.0, layer4=0.0, layer5=100.0, layer6=65.0, layer7=58.7, layer8=50.0",MT5:RANGING:H1=RANGING; H4=RANGING
AUDCAD,RANGING,0,0.98256800,0.0866,5,0.98384500,0.0432,2,passed: ranging candidate near tested support tests=5 distance=0.0866% and resistance tests=2 distance=0.0432%,,,,,,,,,,,,,,RANGE_BUY,0.98256800,0.98384500,0.0,1.00,5,2,single-level scalp: buy near tested support tests=5 distance=0.0866%,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",76.44,95.68,0.00,0.00,72.00,95.00,hammer,hammer agrees with BUY; formed near key level (0.0755%),NEUTRAL,49.64,"NEUTRAL fundamental bias; base=52.7, quote=53.1",BIASED,60.21,"news bias score base=50.0, quote=39.8",76.28,0.00712,3.56,72.73,"layer1=76.4, layer2=95.7, layer3=0.0, layer4=0.0, layer5=72.0, layer6=95.0, layer7=49.6, layer8=60.2",MT5:RANGING:H1=RANGING; H4=RANGING
EURAUD,RANGING,0,1.62523667,0.0961,3,1.62685933,0.0036,15,passed: ranging candidate near tested support tests=3 distance=0.0961% and resistance tests=15 distance=0.0036%,,,,,,,,,,,,,,RANGE_BUY,1.62544429,1.63014000,47.0,5.05,67,21,confirmed clean range: scalp buy near range support,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",78.77,99.64,0.00,0.00,100.00,30.00,none,evening_star contradicts BUY; formed near key level (0.0907%),NEUTRAL,47.25,"NEUTRAL fundamental bias; base=50.0, quote=52.7",CLEAR,50.00,"news bias score base=50.0, quote=50.0",69.85,0.00246,1.23,71.62,"layer1=78.8, layer2=99.6, layer3=0.0, layer4=0.0, layer5=100.0, layer6=30.0, layer7=47.3, layer8=50.0",MT5:RANGING:H1=RANGING; H4=RANGING
USDCAD,RANGING,0,1.37349000,0.0829,7,1.37585714,0.0893,7,passed: ranging candidate near tested support tests=7 distance=0.0829% and resistance tests=7 distance=0.0893%,,,,,,,,,,,,,,RANGE_BUY,1.37349000,1.37585714,0.0,1.00,7,7,single-level scalp: buy near tested support tests=7 distance=0.0829%,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",79.64,91.71,0.00,0.00,78.00,65.00,none,formed near key level (0.0822%),BULLISH,58.17,"BULLISH fundamental bias; base=61.3, quote=53.1",BIASED,60.21,"news bias score base=50.0, quote=39.8",72.95,0.00291,1.45,71.49,"layer1=79.6, layer2=91.7, layer3=0.0, layer4=0.0, layer5=78.0, layer6=65.0, layer7=58.2, layer8=60.2",MT5:RANGING:H1=RANGING; H4=TRENDING_UP
AUDCHF,RANGING,0,0.56138750,0.0983,4,0.56327556,0.2377,9,passed: ranging candidate near tested support tests=4 distance=0.0983% and resistance tests=9 distance=0.2377%,,,,,,,,,,,,,,RANGE_BUY,0.56138750,0.56327556,0.0,1.00,4,9,single-level scalp: buy near tested support tests=4 distance=0.0983%,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",75.55,90.17,0.00,0.00,78.00,95.00,morning_star,morning_star agrees with BUY; formed near key level (0.0877%),NEUTRAL,50.14,"NEUTRAL fundamental bias; base=52.7, quote=52.6",CLEAR,50.00,"news bias score base=50.0, quote=50.0",75.88,0.00890,4.45,71.43,"layer1=75.6, layer2=90.2, layer3=0.0, layer4=0.0, layer5=78.0, layer6=95.0, layer7=50.1, layer8=50.0",MT5:RANGING:H1=RANGING; H4=RANGING
EURNZD,RANGING,0,1.98150000,0.1572,1,1.98677000,0.1083,3,passed: ranging candidate near tested resistance tests=3 distance=0.1083%,,,,,,,,,,,,,,RANGE_SELL,1.98150000,1.98677000,0.0,1.00,1,3,single-level scalp: sell near tested resistance tests=3 distance=0.1083%,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",77.73,89.17,0.00,0.00,66.00,95.00,shooting_star,shooting_star agrees with SELL; formed near key level (0.0937%),NEUTRAL,47.42,"NEUTRAL fundamental bias; base=50.0, quote=52.6",CLEAR,50.00,"news bias score base=50.0, quote=50.0",72.65,0.00453,2.27,70.38,"layer1=77.7, layer2=89.2, layer3=0.0, layer4=0.0, layer5=66.0, layer6=95.0, layer7=47.4, layer8=50.0",MT5:RANGING:H1=RANGING; H4=RANGING
CADJPY,RANGING,0,115.43300000,0.2058,1,115.66333333,0.0066,3,passed: ranging candidate near tested resistance tests=3 distance=0.0066%,,,,,,,,,,,,,,RANGE_SELL,115.43300000,115.66333333,0.0,1.00,1,3,single-level scalp: sell near tested resistance tests=3 distance=0.0066%,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",76.54,99.34,0.00,0.00,66.00,95.00,evening_star,evening_star agrees with SELL; formed near key level (0.0066%),NEUTRAL,52.90,"NEUTRAL fundamental bias; base=53.1, quote=50.2",BIASED,39.79,"news bias score base=39.8, quote=50.0",73.80,0.00692,3.46,70.34,"layer1=76.5, layer2=99.3, layer3=0.0, layer4=0.0, layer5=66.0, layer6=95.0, layer7=52.9, layer8=39.8",MT5:RANGING:H1=RANGING; H4=TRENDING_UP
EURCAD,RANGING,0,1.59828111,0.1018,9,1.60217800,0.1418,10,passed: ranging candidate near tested support tests=9 distance=0.1018% and resistance tests=10 distance=0.1418%,,,,,,,,,,,,,,RANGE_BUY,1.59828111,1.60217800,0.0,1.00,9,10,single-level scalp: buy near tested support tests=9 distance=0.1018%,ERROR,0.00,,"gemini AI error: AI providers failed: gemini: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.5-flash:generateContent (Caused by NewConnectionError(""HTTPSConnection(host='generativelanguage.googleapis.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions"")) | nvidia: HTTPSConnectionPool(host='integrate.api.nvidia.com', port=443): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError(""HTTPSConnection(host='integrate.api.nvidia.com', port=443): Failed to establish a new connection: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions""))",78.75,89.82,0.00,0.00,78.00,65.00,none,formed near key level (0.0974%),NEUTRAL,46.89,"NEUTRAL fundamental bias; base=50.0, quote=53.1",BIASED,60.21,"news bias score base=50.0, quote=39.8",70.84,0.00250,1.25,69.59,"layer1=78.7, layer2=89.8, layer3=0.0, layer4=0.0, layer5=78.0, layer6=65.0, layer7=46.9, layer8=60.2",MT5:RANGING:H1=RANGING; H4=TRENDING_DOWN
